year,cty,all_gov_exp,all_gov_rev
2003,Gilpin,31625.333333333332,49979.666666666664
2003,Grand,73188.13333333333,79433.6
2003,Gunnison,60383.666666666664,60458.63333333333
2003,Hinsdale,3017.7,3171.266666666667
2003,Huerfano,24990.766666666666,24679.233333333334
2003,Jackson,7112.833333333333,7049.266666666666
2003,Jefferson,1555911.5,1435794.5
2003,Kiowa,13553.0,14995.866666666667
2003,Kit Carson,34137.2,35730.36666666667
2003,La Plata,133226.86666666667,134819.86666666667
2003,Lake,78124.26666666666,87118.46666666666
2003,Larimer,781242.8,864751.1333333333
2003,Las Animas,55842.13333333333,47249.333333333336
2003,Lincoln,24904.866666666665,26732.3
2003,Logan,68498.2,74925.3
2003,Mesa,336058.4,333634.6
2003,Mineral,4073.133333333333,4583.7
2003,Moffat,79205.7,87043.63333333333
2003,Montezuma,68802.23333333334,72978.16666666667
2003,Montrose,137883.56666666668,141728.66666666666
2003,Morgan,78284.3,84261.73333333334
2003,Otero,65369.26666666667,66717.96666666666
2003,Ouray,13125.7,13498.4
2003,Park,39610.4,41904.066666666666
2003,Phillips,22337.566666666666,24027.566666666666
2003,Pitkin,178712.6,188833.7
2003,Prowers,58987.8,64852.066666666666
2003,Pueblo,370738.36666666664,389751.73333333334
2003,Rio Blanco,48557.63333333333,49785.933333333334
2003,Rio Grande,40110.03333333333,40436.13333333333
2003,Routt,98514.13333333333,93086.33333333333
2003,Saguache,17661.0,19065.766666666666
2003,San Juan,3776.766666666667,3761.7
2003,San Miguel,56656.0,55758.166666666664
2003,Sedgwick,15877.8,15114.2
2003,Summit,131331.73333333334,144415.76666666666
2003,Teller,67137.6,73271.46666666666
2003,Washington,19516.033333333333,19343.433333333334
2003,Weld,580467.5666666667,567889.3333333334
2003,Yuma,46516.066666666666,52496.0
2004,Adams,1332039.4666666666,1285505.2666666666
2004,Alamosa,50709.46666666667,50891.066666666666
2004,Arapahoe,2045758.4666666666,1879206.8666666667
2004,Archuleta,31949.866666666665,49221.333333333336
2004,Baca,25038.0,27338.266666666666
2004,Bent,33758.6,34353.4
2004,Boulder,1079543.3333333333,972538.9333333333
2004,Broomfield,694185.6,111233.06666666667
2004,Chaffee,58020.13333333333,59674.6
2004,Cheyenne,19638.266666666666,18799.866666666665
