LG_ID,NAME,AUDIT_YEAR,CM_FUND_TYPE_ID,DESCRIPTION,REV_TOTAL,REV_CHARGES,REV_IMPACT_FEE,REV_INTGOVT,REV_TRANSFER_IN,REV_INTEREST,REV_OTHER,EXP_TOTAL,EXP_OPERATING,EXP_CAPITAL_OUTLAY,EXP_PRINCIPAL,EXP_INTEREST,EXP_TRANSFER_OUT,GO_DEBT,REVENUE_DEBT,OTHER_DEBT,ASSETS,LIABILITIES,DEPRECIATION
61002,"Akron, Town of",1980,7,Airport,9500,0,0,0,9500,0,0,9400,7100,2300,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1981,2,Water,123100,108400,4200,0,9100,0,1400,113100,98000,6300,7000,1800,0,41000,0,0,0,0,0
61002,"Akron, Town of",1981,7,Airport,9300,0,0,0,9300,0,0,9300,9300,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1982,2,Water,135200,121700,4200,0,8700,0,600,110800,102300,0,7000,1500,0,34000,0,0,0,0,0
61002,"Akron, Town of",1982,7,Airport,9700,0,0,0,9700,0,0,9700,9700,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1983,2,Water,138500,120000,7100,0,8500,0,2800,143900,135500,0,7000,1400,0,27000,0,0,0,0,0
61002,"Akron, Town of",1983,7,Airport,3300,0,0,0,3300,0,0,3300,3300,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1984,2,Water,128800,118800,1300,0,8300,0,300,142400,132700,1600,7000,1100,0,20000,0,0,0,0,0
61002,"Akron, Town of",1984,7,Airport,5800,0,0,0,5800,0,0,5800,5800,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1985,2,Water,141286,132330,825,0,7520,0,611,163128,147100,8350,7000,678,0,13000,0,0,0,0,0
61002,"Akron, Town of",1985,7,Airport,31110,0,0,0,31110,0,0,31110,31110,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1986,2,Water,172923,157071,700,0,8987,0,6165,152216,143636,0,8000,580,0,5000,0,0,0,0,0
61002,"Akron, Town of",1986,7,Airport,8359,0,0,0,8359,0,0,8359,8359,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1987,2,Water,153556,148689,1625,0,1314,0,1928,154213,149019,0,5000,194,0,0,0,0,0,0,0
61002,"Akron, Town of",1987,3,Sewer,14681,14681,0,0,0,0,0,10575,10575,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1987,7,Airport,6283,0,0,0,6283,0,0,6283,6283,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1988,2,Water,161539,161539,0,0,0,0,0,143352,137155,5795,0,0,402,0,0,0,0,0,6771
61002,"Akron, Town of",1988,7,Airport,104435,0,0,67500,36935,0,0,104435,5217,99218,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1988,3,Sewer,15503,15503,0,0,0,0,0,4869,4869,0,0,0,0,0,0,0,0,0,227
61002,"Akron, Town of",1989,2,Water,160606,155510,500,0,0,0,4596,148642,148642,0,0,0,0,0,0,0,0,0,7249
61002,"Akron, Town of",1989,3,Sewer,15520,14369,275,0,0,0,876,8464,8464,0,0,0,0,0,0,0,0,0,306
61002,"Akron, Town of",1989,7,Airport,240580,0,0,240580,0,0,0,240580,9341,171943,0,0,59296,0,0,0,0,0,0
61002,"Akron, Town of",1990,2,Water,174279,169706,1200,0,0,0,3373,164739,156939,7800,0,0,0,0,0,0,0,0,8729
61002,"Akron, Town of",1990,3,Sewer,14706,14077,0,0,0,0,629,20736,15736,5000,0,0,0,0,0,0,0,0,1223
61002,"Akron, Town of",1990,7,Airport,1465781,0,0,1179395,286386,0,0,1465781,11934,1453847,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1991,2,Water,167527,157324,500,0,0,0,9703,160228,160228,0,0,0,0,0,0,0,0,0,7839
61002,"Akron, Town of",1991,7,Airport,722955,0,0,602803,120152,0,0,722955,15698,707257,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1991,3,Sewer,16932,15525,525,0,0,0,882,21981,21981,0,0,0,0,0,0,0,0,0,1306
61002,"Akron, Town of",1992,2,Water,159095,151428,500,0,0,0,7167,191252,191252,0,0,0,0,0,0,0,0,0,7139
61002,"Akron, Town of",1992,3,Sewer,15412,14818,300,0,0,0,294,13317,13317,0,0,0,0,0,0,0,0,0,1306
61002,"Akron, Town of",1992,7,Airport,541329,0,0,432060,109269,0,0,541329,18369,522960,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1993,2,Water,178671,174656,1400,0,0,0,2615,228447,220947,7500,0,0,0,0,0,0,0,0,7282
61002,"Akron, Town of",1993,7,Airport,34248,0,0,0,34248,0,0,34248,16427,17821,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1993,3,Sewer,23483,23246,0,0,0,0,237,21230,21230,0,0,0,0,0,0,0,0,0,1080
61002,"Akron, Town of",1994,2,Water,224406,222931,0,0,0,0,1475,198076,190916,7160,0,0,0,0,0,0,0,0,7738
61002,"Akron, Town of",1994,7,Airport,13890,0,0,0,13890,0,0,13890,13890,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1994,3,Sewer,23663,23291,0,0,0,0,372,19951,19951,0,0,0,0,0,0,0,0,0,1000
61002,"Akron, Town of",1995,2,Water,549543,245695,1200,300000,0,0,2648,839087,170525,668562,0,0,0,0,0,148760,0,0,7267
61002,"Akron, Town of",1995,3,Sewer,25026,23980,275,0,0,0,771,18639,14722,3917,0,0,0,0,0,6003,0,0,206
61002,"Akron, Town of",1995,7,Airport,57707,0,0,38849,18858,0,0,57707,14690,43017,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1996,2,Water,256395,247631,3550,0,0,0,5214,483438,174319,254319,49676,5124,0,0,0,436326,0,0,27249
61002,"Akron, Town of",1996,7,Airport,287412,0,0,250423,36989,0,0,287412,9164,278248,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1996,3,Sewer,26831,24744,825,0,0,0,1262,24133,20633,3500,0,0,0,0,0,6003,0,0,5513
61002,"Akron, Town of",1997,2,Water,274300,268191,2200,0,0,0,3909,239195,181995,3280,49367,4553,0,0,0,386959,125076,58452,35973
