LG_ID,NAME,LGTYPE_ID,AUDIT_YEAR,CM_FUND_TYPE_ID,DESCRIPTION,REV_TOTAL,REV_CHARGES,REV_IMPACT_FEE,REV_INTGOVT,REV_TRANSFER_IN,REV_INTEREST,REV_OTHER,EXP_TOTAL,EXP_OPERATING,EXP_CAPITAL_OUTLAY,EXP_PRINCIPAL,EXP_INTEREST,EXP_TRANSFER_OUT,GO_DEBT,REVENUE_DEBT,OTHER_DEBT,ASSETS,LIABILITIES,DEPRECIATION
03001,Arapahoe County,1,1978,9,Internal Service,4332200,4002900,0,0,329300,0,0,4424300,3528400,895900,0,0,0,0,0,0,0,0,0
03001,Arapahoe County,1,1979,9,Internal Service,4810400,4357400,0,0,450000,0,3000,4759100,3841000,918100,0,0,0,0,0,0,0,0,0
03001,Arapahoe County,1,1980,9,Internal Service,5322200,5294500,0,0,22200,0,5500,5350700,4827300,523400,0,0,0,0,0,0,0,0,0
03001,Arapahoe County,1,1981,9,Internal Service,6108600,5463000,0,0,639700,0,5900,6719500,5027800,1691700,0,0,0,0,0,0,0,0,0
03001,Arapahoe County,1,1982,9,Internal Service,8873100,6790400,0,0,2058900,0,23800,7736100,5290300,1974100,438000,33700,0,0,0,388958,0,0,0
03001,Arapahoe County,1,1983,9,Internal Service,7425600,7216900,0,0,170600,0,38100,7810200,5910200,1734200,140300,25500,0,0,0,248675,0,0,0
03001,Arapahoe County,1,1984,9,Internal Service,4956400,2659100,0,0,2250300,0,47000,4053400,1258600,2597500,181400,15900,0,0,0,67276,0,0,0
03001,Arapahoe County,1,1985,9,Internal Service,3685074,2971117,0,0,685000,0,28957,4318370,1179477,3084307,40106,14480,0,0,0,27170,0,0,0
03001,Arapahoe County,1,1986,9,Internal Service,7305927,5123555,0,300000,1575799,0,306573,5853404,1870385,3955849,27170,0,0,0,0,0,0,0,0
03001,Arapahoe County,1,1987,9,Internal Service,6239267,5037326,0,0,1131139,0,70802,6931470,2152974,4778496,0,0,0,0,0,0,0,0,0
03001,Arapahoe County,1,1988,9,Internal Service,6711286,5690956,0,0,905248,0,115082,4762117,2429136,2332981,0,0,0,0,0,0,0,0,3247394
03001,Arapahoe County,1,1989,9,Internal Service,7186507,6669505,0,0,281000,0,236002,5439221,3733236,1705985,0,0,0,0,0,0,0,0,3299975
03001,Arapahoe County,1,1990,9,Internal Service,8440011,6835056,0,0,1433638,0,171317,9494639,5808529,3686110,0,0,0,0,0,0,0,0,3233960
03001,Arapahoe County,1,1991,9,Internal Service,8699794,7994258,0,0,522295,0,183241,9226170,5042791,4183379,0,0,0,0,0,0,0,0,3148235
03001,Arapahoe County,1,1992,9,Internal Service,6654482,6347435,0,0,199815,0,107232,4933199,3119322,1813877,0,0,0,0,0,0,0,0,3770439
03001,Arapahoe County,1,1993,9,Internal Service,6397034,6262715,0,0,62974,0,71345,3817523,2328929,1488594,0,0,0,0,0,0,0,0,3777782
03001,Arapahoe County,1,1994,9,Internal Service,5327220,5271783,0,0,0,0,55437,6429104,2593790,1872958,0,0,1962356,0,0,0,0,0,2699728
03001,Arapahoe County,1,1995,9,Internal Service,5733514,5239189,0,0,355025,0,139300,5845117,2504480,3340637,0,0,0,0,0,0,0,0,2714862
03001,Arapahoe County,1,1996,9,Internal Service,6557878,5240831,0,0,1162798,0,154249,6434654,2867061,3567593,0,0,0,0,0,0,0,0,2569216
03001,Arapahoe County,1,1997,9,Internal Service,7331622,5570847,0,0,1467720,0,293055,6117691,2569828,3547863,0,0,0,0,0,0,11312086,876923,2794458
03001,Arapahoe County,1,1998,9,Internal Service,7103540,6063860,0,0,915437,0,124243,5616383,2807119,2809264,0,0,0,0,0,0,12787180,864860,3222917
03001,Arapahoe County,1,1999,9,Internal Service,6942459,6895762,0,0,0,0,46697,10396963,3429250,5918267,0,0,1049446,0,0,0,9986509,1530199,3688178
03001,Arapahoe County,1,2000,9,Internal Service,8708673,8112828,0,0,0,0,595845,10086197,3216847,4967098,0,0,1902252,0,0,0,7870539,1091467,4471250
03001,Arapahoe County,1,2001,9,Internal Service,9237293,8967672,0,0,0,0,269621,9691436,4402183,4331386,0,0,957867,0,0,0,8176270,1288265,4880449
03001,Arapahoe County,1,2002,9,Internal Service,9496128,8921319,0,0,428000,0,146809,9494025,4788113,4705912,0,0,0,0,0,0,8079286,1189178,4280257
03001,Arapahoe County,1,2003,9,Internal Service,8654328,8524448,0,0,0,0,129880,7670924,5013252,2657672,0,0,0,0,0,0,11337674,2277749,4795484
03001,Arapahoe County,1,2004,9,Internal Service,10214190,8324740,0,0,1714931,50,174469,8456448,4879187,3577261,0,0,0,0,0,0,13654862,2837195,4279252
