,pass,prob_exmpt,s_time,sales_change,prop_change,prop_levy_change,debt_change,rev_time,ss_open,ss_no waiver,ss_sales,ss_property,ss_nontax,ss_value,ss_transfer,ss_nonproperty,ss_tourism,ss_unknown,ss_library,ss_gaming,ss_development,infrastructure,open,public safety,economic development,unspecified,environment,hss,education,tourism,no waiver,administrative,limited,agriculture,unknown,choice,intensity_stock,prop_ratio,cty_rev_prop
0,1,0.3834341143818375,0.0,0.5,0.0,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.7605301199087113,0.18711589642417087
1,0,0.37090197302112954,99.0,0.0,1.7,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06854643119708265,0.8387235620515235,0.1815578700533585
2,0,0.37090197302112954,0.0,0.2,0.0,0.0,0.0,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.06854643119708265,0.8387235620515235,0.1815578700533585
3,0,0.37090197302112954,0.0,0.0,0.0,0.0,42710000.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.06854643119708265,0.8387235620515235,0.1815578700533585
4,1,0.37090197302112954,0.0,0.5,0.0,0.0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.06854643119708265,0.8387235620515235,0.1815578700533585
5,1,0.39993120990576614,0.0,0.2,0.0,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.17360670422542535,0.8616342583024075,0.16909454818381722
6,1,0.4183845611210736,99.0,0.0,0.0,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.20545313757181127,0.8679668080320416,0.2016495870465041
7,1,0.42149454548614584,99.0,0.5,0.0,0.0,0.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3701389721000117,0.9048673559208376,0.2018902174551709
8,1,0.282363675791184,99.0,0.0,0.0,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8979761992806994,0.20575134811412712
9,0,0.282363675791184,99.0,0.0,2.438,0.0,0.0,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.8979761992806994,0.20575134811412712
